Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,Best Users
Quickstriker Emblem,B,4.15,-0.17,15.4%,"295,417",1.8%,"Sett, Lucian & Senna, Jinx, Ambessa, Shyvana"
Sterak's Gage,B,4.05,-0.17,15.2%,"3,039,407",18.3%,"Ambessa, Warwick, Shyvana, Volibear , Aatrox "
Hextech Gunblade,B,4.08,-0.17,15.3%,"3,117,273",18.7%,"Kai'Sa , Lux, Seraphine, Lissandra, Sett"
Radiant Blue Buff,B,4.34,-0.16,14.5%,"25,060",0.2%,"Veigar, Mel , Lux, Seraphine, Aurelion Sol"
Radiant Thief's Gloves,B,4.34,-0.16,11.7%,"268,024",2.0%,"Brock, Sett, Shyvana, Swain, Nidalee "
Nashor's Tooth,B,4.27,-0.16,13.7%,"3,642,419",21.9%,"Seraphine, Aurelion Sol, Lux, Lissandra, Ziggs "
Morellonomicon,B,3.95,-0.16,16.3%,"2,513,495",15.1%,"Thresh , Lissandra, Seraphine, Singed, Fiddlesticks"
Radiant Spear of Shojin,B,4.34,-0.16,15.1%,"33,097",0.2%,"Veigar, Kalista , Mel , Lissandra, Lux"
Void Gauntlet,B,4.34,-0.16,12.6%,"70,714",0.5%,"Ornn, Braum, Wukong, Swain, Rift Herald "
Steadfast Heart,B,4.02,-0.16,15.4%,"2,638,671",15.9%,"Braum, Swain, Garen, Wukong, Rift Herald "
Adaptive Helm,B,3.95,-0.15,16.3%,"2,438,055",14.7%,"Swain, Mel , Seraphine, Lissandra, Wukong"
Kraken's Fury,B,4.14,-0.15,14.0%,"2,973,404",17.9%,"Bel'Veth, Kindred, Yunara, Aphelios, Vayne"
Radiant Deathblade,B,4.35,-0.15,11.9%,"23,629",0.2%,"Brock, Yunara, Ambessa, Kalista , Kindred"
Radiant Last Whisper,B,4.35,-0.15,12.4%,"13,452",0.1%,"Brock, Kalista , Yunara, Kindred, Ambessa"
Yordle Emblem,B,4.23,-0.15,16.7%,"310,885",1.9%,"Swain, Shyvana, Volibear , Taric, Wukong"
Zaun Emblem,B,4.24,-0.14,11.3%,"319,580",1.9%,"Swain, Seraphine, Kindred, Shyvana, Lucian & Senna"
Rabadon's Deathcap,B,4.19,-0.14,15.6%,"2,975,870",17.9%,"Veigar, Fizz, Ziggs , Sett, Seraphine"
Ionic Spark,B,3.94,-0.14,16.4%,"2,257,653",13.6%,"Swain, Kennen , Braum, Thresh , Taric"
